📋MASTER ASSET LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assets - Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Subitems,Sortable Asset #,Asset - Category,Asset - Subcategory,Market,🗺️LOCATIONS🗺️,Brand,Model,S/N,Description,Assigned to (People),IP,Mac Addresses,Ports & Protocols,Status,Labelled?,Replacement,Health,Impact,Est. Date of Receival,OG Est. Equipment Life (Yrs),Current Est. Equipment Life (Yrs),Age (Only Year),OG vs Current Life Difference (Yrs),OG Est. End of Life Date,Current Est. End of Life,OG Equipment Life Timeline - Start,OG Equipment Life Timeline - End,Current Equipment Life Timeline - Start,Current Equipment Life Timeline - End,Est. Replacement Cost($),Est. Replacement Project Costs,Actual Acquisition ($),Vehicle - Insurance Broker,Vehicle - Insurance Provider,Vehicle - Policy #,Vehicle - Permit # / Customer #,Vehicle - Plate #,Vehicle - Lease (Mths),Vehicle - Lease Start Date,Vehicle - Lease End Date,Vehicle - Allowance/Yr (kms),Vehicle - Plate Renewal Date,FE Asset Number,Total Replacement Est. ($),Current 12 month Activity,link to 🧱TX SITE BREAKDOWN,Item ID (auto generated)
414,,414,Technical Equipment,AV,,Office - Belleville - National Media Centre,ART,Head Amp 6,M110701227,6 Channel Headphone Amp,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2010-01-01,15,15,16,,2025-01-01,2025-01-01,2010-01-01,2025-01-01,2010-01-01,2025-01-01,200,,,,,,,,,,,,,,200,,,7098153164
413,,413,Technical Equipment,AV,,Office - Belleville - National Media Centre,Digigram,BOB 8,00020960,Breakout Box,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2010-01-01,15,15,16,,2025-01-01,2025-01-01,2010-01-01,2025-01-01,2010-01-01,2025-01-01,500,,,,,,,,,,,,,,500,,,7098152227
412,,412,Technical Equipment,AV,,Office - Belleville - National Media Centre,Samson,Servo 120a,S12G000009,Power Amplifier,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2024-01-01,11,11,2,,2035-01-01,2035-01-01,2024-01-01,2035-01-01,2024-01-01,2035-01-01,400,,,,,,,,,,,,,,400,,,7098149976
411,,411,Technical Equipment,Broadcast,Chatham,Office - Chatham - Centre,Probably Scala,Unknown,N/A,STL Antenna,,N/A,,,In Use,Not Necessary,Do Not Replace,Healthy,Critical,2007-01-01,35,35,19,,2042-01-01,2042-01-01,2007-01-01,2042-01-01,2007-01-01,2042-01-01,2500,1500,,,,,,,,,,,,,4000,,,7088952285
409,,409,Technical Equipment,Broadcast,,TX Site - Belleville - Read,Amb - OS Media,AMR-100,2000947,Teaching program download device,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2014-01-01,10,12,12,2,2024-01-01,2026-01-01,2014-01-01,2024-01-01,2014-01-01,2026-01-01,595,,,,,,,,,,,,,,595,,,7088302198
408,,408,Technical Equipment,AV,,Office - Belleville - National Media Centre,Behringer,MX882,S1007933056,8 Channel Splitter/Mixer,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2010-01-01,15,15,16,,2025-01-01,2025-01-01,2010-01-01,2025-01-01,2010-01-01,2025-01-01,250,,,,,,,,,,,,,,250,,,7088279528
407,,407,Technical Equipment,AV,,Office - Belleville - National Media Centre,Behringer,MX882,S1007911056,8 Channel Splitter/Mixer,,,,,Not in Use,Yes,Do Not Replace,Unknown,Not in Use,2007-01-01,15,21,19,6,2022-01-01,2028-01-01,2007-01-01,2022-01-01,2007-01-01,2028-01-01,200,,,,,,,,,,,,,,200,,,7088224628
406,,406,Technical Equipment,Connectivity,,Office - Belleville - National Media Centre,D-LINK,DGS-1024D,R3JQ4F8000310,24 Port Switch,,N/A,,,In Use,Yes,Probably Replace,Healthy,Critical,2017-01-01,15,15,9,,2032-01-01,2032-01-01,2017-01-01,2032-01-01,2017-01-01,2032-01-01,100,,,,,,,,,,,,,,100,,,7088160684
405,,405,Technical Equipment,Broadcast,Chatham,Office - Chatham - Centre,Nicom,TSL910,TS9A0207,STL Transmitter,,N/A,,,In Use,Yes,Do Not Replace,Aging,Critical,2007-01-01,15,20,19,5,2022-01-01,2027-01-01,2007-01-01,2022-01-01,2007-01-01,2027-01-01,1500,,,,,,,,,,,,,,1500,,,7088117218
404,,404,Technical Equipment,Broadcast,Windsor,TX Site - Windsor - Ouellette,Coaxial Dynamics,88514,N/A,RF Line Section for RF Elements/Slugs FWD/REF Power - Included 2 Elements (x1 5000W and x1 250W)(,,N/A,,,In Use,Yes,Replace,Healthy,Low,2018-06-27,15,15,8,,2033-06-27,2033-06-27,2018-06-27,2033-06-27,2018-06-27,2033-06-27,1250,,,,,,,,,,,,,,1250,,,7078625599
